author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
Thomas;r1531479;Tuesday;;;13/10/2015;Oct;15:54:58;;;4;1;Merge from android-15.2-solutions-att PHONE-1665: Phone Customer Reported Issue - Carousel Issues on Tablet Added titles for wizard ;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1530186;Friday;;;09/10/2015;Oct;14:34:54;;;1;1;[gradle-release] prepare for next development iteration;;;;;
Thomas;r1530155;Friday;;;09/10/2015;Oct;13:58:14;;;1;1;Bumped version to 15.2.30.18;;;;;
Jimmy;r1530104;Friday;;;09/10/2015;Oct;12:52:44;;;1;1;Disabled at&t module;;;;;
Jimmy;r1530087;Friday;;;09/10/2015;Oct;12:30:40;;;1;1;Lint fix;;;;;
Jimmy;r1530077;Friday;;;09/10/2015;Oct;12:10:54;;;1;1;Added new homescreen;;;;;
Thomas;r1530022;Friday;;;09/10/2015;Oct;11:17:08;;;1;1;Added lint ignores;;;;;
Thomas;r1530019;Friday;;;09/10/2015;Oct;11:09:59;;;1;1;Added lint ignores;;;;;
Thomas;r1529976;Friday;;;09/10/2015;Oct;10:13:54;;;1;1;Updated strings;;;;;
Thomas;r1529934;Friday;;;09/10/2015;Oct;09:24:07;;;1;1;Revert back some assets;;;;;
Thomas;r1529923;Friday;;;09/10/2015;Oct;09:06:45;;;1;1;Added qa and qa_wl build types; renamed app.;;;;
Thomas;r1529916;Friday;;;09/10/2015;Oct;08:55:33;;;1;1;Updated assets;;;;;
Thomas;r1529913;Friday;;;09/10/2015;Oct;08:53:15;;;1;1;Removed unused resources;;;;;
Thomas;r1529617;Thursday;;;08/10/2015;Oct;14:55:59;;;2;1;Set prod end point: http://confluence.company.net:8085/display/PRO/Frontier+PC+PROD;;;;;
Thomas;r1529611;Thursday;;;08/10/2015;Oct;14:49:55;;;1;1;Enabled client-frt client;;;;;
Thomas;r1529597;Thursday;;;08/10/2015;Oct;14:38:16;;;1;1;Copy to android-15.2-solutions;;;;;
Thomas;r1528989;Wednesday;;;07/10/2015;Oct;15:19:21;;;1;1;PHONE-1420: CLONE - [15.2]The first file thumbnail is not dispalyed properly in landscape mode;;;;;
Thomas;r1528947;Wednesday;;;07/10/2015;Oct;14:44:23;;;1;1;Updated more strings;;;;;
Thomas;r1528925;Wednesday;;;07/10/2015;Oct;14:23:29;;;1;1;Simplified app versioning;;;;;
Thomas;r1528923;Wednesday;;;07/10/2015;Oct;14:19:38;;;1;1;PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon;;;;;
Thomas;r1528922;Wednesday;;;07/10/2015;Oct;14:19:14;;;1;1;PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon;;;;;
Thomas;r1528797;Wednesday;;;07/10/2015;Oct;11:06:28;;;1;1;Remove att permission from manifest;;;;;
Thomas;r1528782;Wednesday;;;07/10/2015;Oct;10:45:54;;;2;1;Merged from trunk: ANDINTL-3163 - enable the application to be installed on top of Ready 2 Go and Verizon cloud;;;;;
Thomas;r1528452;Tuesday;;;06/10/2015;Oct;16:15:27;;;1;1;Enabled client-amx client;;;;;
Thomas;r1528449;Tuesday;;;06/10/2015;Oct;16:07:38;;;1;1;Fixed NPE for amx client; changed amx client name;;;;
Thomas;r1528422;Tuesday;;;06/10/2015;Oct;15:36:53;;;1;1;Added ignores;;;;;
Thomas;r1528416;Tuesday;;;06/10/2015;Oct;15:28:51;;;1;1;Implements HelpFragment.Callback;;;;;
Thomas;r1528414;Tuesday;;;06/10/2015;Oct;15:27:59;;;1;1;Added help_fragment_icon.png;;;;;
Thomas;r1528412;Tuesday;;;06/10/2015;Oct;15:26:10;;;1;1;Added help fragment colors;;;;;
Thomas;r1528411;Tuesday;;;06/10/2015;Oct;15:23:31;;;2;1;Merged from android-15.2-solutions-amx Help CR: http://confluence.company.net:8085/display/CSE/Titans+Android+Help+CR [from revision 1520497];;;;;
